"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","values"
"2015.6575",28286.2305673907,25368.8559292689,31203.6052055124,23824.4910838926,32747.9700508888,2015-08-29
"2015.6603",28390.229564616,25472.8549264943,31307.6042027378,23928.4900811179,32851.9690481141,2015-08-30
"2015.6630",28488.6235608711,25571.2489227493,31405.9981989928,24026.8840773729,32950.3630443692,2015-08-31
"2015.6658",28581.2651066874,25663.8904685657,31498.6397448091,24119.5256231893,33043.0045901855,2015-09-01
"2015.6685",28668.1307197161,25750.7560815944,31585.5053578379,24206.391236218,33129.8702032143,2015-09-02
"2015.6712",28749.3217922387,25831.947154117,31666.6964303605,24287.5823087406,33211.0612757369,2015-09-03
"2015.6740",28825.0633106367,25907.688672515,31742.4379487585,24363.3238271386,33286.8027941349,2015-09-04
"2015.6767",28895.7003537521,25978.3257156304,31813.0749918739,24433.960870254,33357.4398372503,2015-09-05
"2015.6795",28961.6923773322,26044.3177392105,31879.067015454,24499.9528938341,33423.4318608303,2015-09-06
"2015.6822",29023.6053330189,26106.2306948972,31940.9799711407,24561.8658495208,33485.344816517,2015-09-07
"2015.6849",29082.1017118353,26164.7270737135,31999.476349957,24620.3622283371,33543.8411953334,2015-09-08
"2015.6877",29137.9286430526,26220.5540049309,32055.3032811744,24676.1891595545,33599.6681265508,2015-09-09
"2015.6904",29191.9042188864,26274.5295807646,32109.2788570081,24730.1647353882,33653.6437023845,2015-09-10
"2015.6932",29244.9022528693,26327.5276147476,32162.2768909911,24783.1627693712,33706.6417363674,2015-09-11
"2015.6959",29297.835714222,26380.4610761003,32215.2103523437,24836.0962307239,33759.5751977201,2015-09-12
"2015.6986",29351.6391113405,26434.2644732187,32269.0137494622,24889.8996278423,33813.3785948386,2015-09-13
"2015.7014",29407.2501239785,26489.8754858567,32324.6247621002,24945.5106404803,33868.9896074766,2015-09-14
