DateYYYYMMDD,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
20140218,27565.156,26000.776,25386.211,25042.536,25127.893,26570.779,30730.514,36666.072,40746.435,41628.431,41194.016,40548.157,38051.327,37435.94,38815.814,39554.372,40246.198,41444.427,44214.069,43303.978,40430.069,37404.013,33575.283,30535.836
20140219,27666.759,26053.037,25277.983,24919.43,25042.708,26717.551,30961.737,36834.635,41059.406,41869.771,41448.644,40915.466,38552.655,37985.931,38870.403,39511.563,39837.856,40774.24,43829.112,42765.901,40083.514,37053.912,33294.352,30107.382
20140220,27633.794,26201.057,25212.643,24767.696,25100.167,26525.412,30708.721,36542.721,40734.968,41903.052,41260.911,40888.154,38369.874,37723.184,38418.19,39180.908,39452.381,39707.538,43240.033,42491.421,40069.638,36712.289,32941.793,29818.598
20140221,27266.259,25771.054,24692.64,24391.354,24603.996,26388.384,30542.178,35792.451,40350.77,41911.977,41169.42,40801.36,38709.469,37882.391,38565.965,38955.659,39689.79,40330.345,42947.748,42116.472,39333.207,36118.785,32608.729,29602.305
20140222,27212.219,25916.887,24872.121,24509.024,24578.722,25280.666,27496.735,30122.677,32674.496,34488.077,34070.641,33598.739,32337.785,30835.746,30511.886,30698.618,31281.89,33024.081,36805.147,37504.983,34692.727,31826.517,29101.009,26666.963
20140223,25268.628,23630.099,22410.678,21932.48,21975.615,22448.245,23381.152,23957.121,25868.321,27600.125,28360.802,28634.892,28409.648,27169.399,26736.919,26614.375,27005.025,29360.957,32922.263,34292.361,32863.192,30882.893,28382.474,26309.501
20140224,23739.782,22483.79,21852.953,21645.187,22146.996,23808.469,28827.45,34137.018,39529.953,40635.458,40374.5,39680.492,37567.873,37389.83,38504.708,38853.168,39872.575,40713.887,43032.233,42230.698,39784.725,36853.232,32892.881,29467.177
20140225,27135.774,25649.685,24856.367,24524.144,24808.913,26408.816,30836.017,36116.109,41098.859,42286.195,41537.833,40900.817,38535.907,38015.139,39030.749,39703.563,40179.827,40782.832,43628.502,43193.639,40105.128,36985.899,33005.163,29887.822
20140226,27422.832,25931.464,25363.863,25244.38,25209.052,27062.314,31821.29,36786.589,41454.518,42428.6,41948.272,41433.24,39039.479,38583.821,39423.162,40190.673,40400.848,40860.596,44450.715,43357.747,40433.832,37695.055,33729.152,30033.162
20140227,27488.058,25724.985,24959.237,24942.907,25497.961,27122.463,31992.759,36366.23,41197.198,41950.811,41035.081,40432.037,38019.356,37486.267,38340.651,38733.6,39390.302,39691.291,43645.954,43010.427,39705.643,37208.233,33331.323,29963.759
